,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
15,frozenset({'yogurt'}),frozenset({'tropical fruit'}),0.08587850030074183,0.0677671589921807,0.005212858384013901,0.06070038910505837,0.8957198443579768,-0.0006068835998765086,0.9924765540141242,-0.11297016861219177
16,frozenset({'whole milk'}),frozenset({'frankfurter'}),0.15792287642852368,0.037759807525228894,0.005279689901757669,0.033432077867118076,0.8853879311959076,-0.0006834475160138924,0.9955225809185132,-0.13324242566730915
17,frozenset({'frankfurter'}),frozenset({'whole milk'}),0.037759807525228894,0.15792287642852368,0.005279689901757669,0.13982300884955753,0.8853879311959075,-0.0006834475160138924,0.9789579728763048,-0.11857632162174715
18,frozenset({'pork'}),frozenset({'whole milk'}),0.037091492347791216,0.15792287642852368,0.005012363830782597,0.13513513513513514,0.8557033546453776,-0.0008452313318071669,0.9736516741295195,-0.14902664902664892
19,frozenset({'whole milk'}),frozenset({'pork'}),0.15792287642852368,0.037091492347791216,0.005012363830782597,0.031739314430808296,0.8557033546453776,-0.0008452313318071669,0.994472379188011,-0.16684299619128215
20,frozenset({'whole milk'}),frozenset({'pip fruit'}),0.15792287642852368,0.049054334023925686,0.006616320256633028,0.041895895048666955,0.8540712229062719,-0.0011304812737109125,0.9925285374123073,-0.16867987777448254
21,frozenset({'pip fruit'}),frozenset({'whole milk'}),0.049054334023925686,0.15792287642852368,0.006616320256633028,0.13487738419618528,0.8540712229062719,-0.0011304812737109125,0.9733615885062419,-0.15230993828289727
22,frozenset({'whole milk'}),frozenset({'citrus fruit'}),0.15792287642852368,0.05313105660629553,0.007150972398583172,0.04528142192128651,0.8522590140983773,-0.0012396368883697342,0.9917780643791327,-0.17071814504620653
23,frozenset({'citrus fruit'}),frozenset({'whole milk'}),0.05313105660629553,0.15792287642852368,0.007150972398583172,0.13459119496855346,0.8522590140983773,-0.0012396368883697342,0.9730396994757612,-0.15474820464784333
24,frozenset({'whole milk'}),frozenset({'shopping bags'}),0.15792287642852368,0.04758404063356279,0.006348994185657956,0.040203131612357175,0.8448868796568826,-0.0011656143832860294,0.9923099259183824,-0.17899601569578535
25,frozenset({'shopping bags'}),frozenset({'whole milk'}),0.04758404063356279,0.15792287642852368,0.006348994185657956,0.13342696629213482,0.8448868796568826,-0.0011656143832860294,0.9717324343320763,-0.16161036303826556
26,frozenset({'rolls/buns'}),frozenset({'yogurt'}),0.11000467820624206,0.08587850030074183,0.007819287576020852,0.07108140947752127,0.8276973774413625,-0.0016277492143969147,0.9840706268835703,-0.18956238868822703
27,frozenset({'yogurt'}),frozenset({'rolls/buns'}),0.08587850030074183,0.11000467820624206,0.007819287576020852,0.09105058365758756,0.8276973774413625,-0.0016277492143969147,0.9791472504323451,-0.18548732291139133
28,frozenset({'whole milk'}),frozenset({'yogurt'}),0.15792287642852368,0.08587850030074183,0.011160863463209249,0.07067287346593314,0.8229402378760758,-0.002401316327651736,0.9836380254049849,-0.2035078661263349
29,frozenset({'yogurt'}),frozenset({'whole milk'}),0.08587850030074183,0.15792287642852368,0.011160863463209249,0.1299610894941634,0.8229402378760758,-0.002401316327651736,0.9678614524054983,-0.190524689389268
